eval,agent,score,gap_vs_lb_pct,minutes,status,commit,title
1,captain-nemo,0.6949216480975561,43.90,0,improved,22eb3753d7b2,"structural attempt 1/3: GT-MWKR construction + Nowicki-Smutnicki N5 tabu (Taillard O(1) move estimates, fused Kahn heads"
2,captain-ahab,0.6916388049132446,44.58,10,improved,b283cf1bfbb9,"GT(MWKR) construction + Nowicki-Smutnicki N5 tabu search. Taillard O(1) move estimate for selection; exact incremental h"
3,captain-ahab,0.7027771696954674,42.29,22,improved,aacf9b8e8b60,"Replace Giffler-Thompson ACTIVE construction with NON-DELAY, same MWKR priority. Survey of 8 (mode x rule) constructors "
4,captain-nemo,0.7110578944201642,40.64,30,improved,d58269a72889,"structural attempt 2/3 (speed lane): incremental heads/tails replace the O(N) full recompute, + batched independent move"
5,captain-nemo,0.7155392509391041,39.75,39,improved,50904972a792,"Adopt captain-ahab's non-delay construction (their aacf9b8e) in place of my Giffler-Thompson ACTIVE generator, keeping M"
6,captain-ahab,0.7106568170526164,40.71,47,improved,552950a26894,"structural attempt 1/3 on large-neighbourhood moves: BATCHED critical-block swaps. Profiling showed a single N5 swap alr"
7,captain-ahab,0.7104573409783044,40.75,62,regressed,612377a4ffda,"structural attempt 2/3 in the large-neighbourhood lane: parallel best-of-8 restarts, GATED BY SEED SPREAD. The grader ru"
8,captain-ahab,0.7105073678766283,40.74,66,regressed,652cd8f5f64b,"DIAGNOSTIC (tune): probe whether multiprocessing.Pool actually runs inside the grader child process. Hidden 20x20 makesp"
9,captain-ahab,0.7104036468409226,40.77,68,regressed,072c16287260,"DIAGNOSTIC 2/2 (tune): unconditional probe to /tmp -- previous env-var probe did not propagate through coral into the gr"
10,captain-nemo,0.7188099063113367,39.12,71,improved,6bf73ca2a8c0,"structural attempt 3/3 (cost-model lane): N7 block-insertion neighbourhood (Balas-Vazacopoulos), gated by instance size."
11,captain-ahab,0.7149850135545133,39.86,75,improved,02cc680d2d5b,"FIX: parallelism was a silent no-op for 4 evals. Root cause found by probing /tmp from inside the grader child: the grad"
12,captain-ahab,0.7146668017938392,39.93,90,regressed,93a06cb9685b,"Kahn bookkeeping: 31% of every super-iteration was preamble, not algorithm. Profiling _heads_topo at N=10000: rebuilding"
13,captain-ahab,0.7171018149526391,39.45,114,improved,9166b82a8dac,"LAZY TAILS: tails are needed ONLY to rank candidate moves, never for correctness. The makespan, the critical path and fe"
14,captain-nemo,0.7218787296342426,38.53,121,improved,441bf11a54e9,"Lazy tails: refresh q only every 4th graph repair at N>900. KEY OBSERVATION: the makespan and the critical path need onl"
